"title","is_spam"
"ALARM: ""[ETL][production-analisis][Warning] Advertisements RowsExtra..."" in Asia Pacific - Singapore http://opsg.in/i/649",1
"Mau tetap eksis di Media Sosial? tekan *325# kamu bisa
                                                       facebook-an sepuasnya, mulai dari perbarui status,kirim pesan,
                                                       komentar & lainnya. Info:123",0
"PROMO RBT GRATIS 30hr pertama paket tahunan: 1.Dia-ANJI 2.Kekasih Terhebat-Anji . SK berlaku dan promo lain cek http://rbt.tri.co.id. Untuk aktivasi balas: 1 atau 2",0
"ALARM: ""[EMR]MR Active Nodes"" in Asia Pacific - Singapore http://opsg.in/i/635",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 24Sep16 13:25
                                                       706363
                                                       711762
                                                       412575
                                                       Ref no. RB3033677315",1
"ALARM: ""[ETL][production-analisis][Warning] Advertisements RowsExtra..."" in Asia Pacific - Singapore http://opsg.in/i/619",1
"Cuma disini kamu bisa aktifkan paket GRATIS 7 hari nonton film
                                                       warkop DKI sepuasnya, yuk akses di *100*5# atau
                                                       http://goo.gl/Vro92z . Info: 123",1
"Akses mudah memonitor portolio investasi untuk kendali lebih manajemen keuangan Anda dengan Citibank Online. Akses Citibank Online di www.citibank.co.id/login",1
"ALARM: ""[ETL][production-analisis][Warning] Advertisements RowsExtra..."" in Asia Pacific - Singapore http://opsg.in/i/613",1
"Tunjukkan kalo kamu paling HITS di antara teman2. Yuk, ganti nada
                                                       tunggumu dgn RBT dari 3 GRATIS 1 hr dan cuma Rp250/hr
                                                       selanjutnya(blm ppn). Hub *808# skrng!",0
"Devs,
                                                       
                                                       Submit aplikasi buatan anda di Indosat Ooredoo Wireless Innovation Contest (www.dicoding.com/challenges/83).
                                                       Cek email untuk details nya. Thx
                                                       -dicoding-",1
"Traveloka.com: Your e-ticket summary
                                                         30-09-2016/08:55/GARUDA GA-184/CGK-KNO
                                                       KNO-CGK/4SABDP
                                                         Total: 1 passenger(s)",1
"Gunakan kode OTP 9vqbi45o atas pembayaran belanja Anda pada merchant TRAVELOKA.COM sejumlah Rp. 2.503.704. No transaksi 115682068. BCA KlikPay",1
"Mau tetap eksis di Media Sosial? tekan *325# kamu bisa
                                                       facebook-an sepuasnya, mulai dari perbarui status,kirim pesan,
                                                       komentar & lainnya. Info:123",0
"Mau nonton semua film warkop GRATIS 7 hari non stop dimana aja
                                                       dan kapan aja cukup tekan *500# atau klik http://goo.gl/DYfGR3 .
                                                       Info: 123",0
"Pesan tiket sekarang! Nikmati diskon hingga 10% di Sriwijayakcp.com dengan CIMB Clicks & Rekening Ponsel. Promosi s/d 31 Des'15. S&K berlaku. Info 14041",0
"ALARM: ""[ELB][production-plenty][Danger] SURGE QUEUE"" in Asia Pacific - Singapore http://opsg.in/i/494",1
"Tunjukkan kalo kamu paling HITS di antara teman2. Yuk, ganti nada
                                                       tunggumu dgn RBT dari 3 GRATIS 1 hr dan cuma Rp250/hr
                                                       selanjutnya(blm ppn). Hub *808# skrng!",0
"ALARM: ""[RDS][production-lateral-hybrid][ORANGE]DISK QUEUE DEPTH"" in Asia Pacific - Singapore http://opsg.in/i/476",1
"My Blue Bird verification code is 8832:",1
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik JH utk membeli. N295",1
"ALARM: ""[ELB][production-plenty][Warning] UnHealthy check"" in Asia Pacific - Singapore http://opsg.in/i/440",1
"Ok",1
"Dkt  terowongan mana nich pak maaf ",1
"Pak ini Dr Go-Jek pesen pisang ya ",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 20Sep16 13:39
                                                       745440
                                                       875056
                                                       193666
                                                       Ref no. RB3033564480",1
"BONUS KUOTA 1GB (berlaku 3 hari) untukmu hanya dgn isi pulsa di Bank, Alfamart, Indomaret, Hypermart, Online, dll s/d 22/09/2016. Tdk berlaku kelipatan.M122",0
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik JH utk membeli. N295",1
"ALARM: ""[EC2][production-lathybrid] Lateral Hybrid Model Too Old"" in Asia Pacific - Singapore http://opsg.in/i/393",1
"Assalamualaikum.. Ayo aktifkan RBT YUK SHOLAT yg hanya aktif saat jam-jam Sholat dan kamu juga mengajak temanmu untuk Sholat lho. Untuk aktivasi balas: Y",1
